City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Ahipara,-35.1667,173.1667,64.98,80,29,16.28,scattered clouds
156,Chenzhou,25.8,113.0333,74.19,97,99,4.21,overcast clouds
157,Ucluelet,48.9329,-125.5528,62.1,75,46,1.99,scattered clouds
158,Faya,18.3851,42.4509,71.37,33,47,3.22,scattered clouds
159,Nanortalik,60.1432,-45.2371,38.64,86,100,8.12,overcast clouds
160,Vestmannaeyjar,63.4427,-20.2734,49.28,90,100,14.14,overcast clouds
161,Upernavik,72.7868,-56.1549,27.43,76,26,9.6,scattered clouds
162,Olafsvik,64.8945,-23.7142,47.75,94,92,3.15,overcast clouds
163,Krasnoselkup,65.7,82.4667,40.53,68,53,12.57,broken clouds
164,Sri Aman,1.2376,111.4621,75.25,100,99,0.0,overcast clouds
165,Eenhana,-17.4667,16.3333,60.49,27,0,11.1,clear sky
166,Kerman,30.2832,57.0788,57.06,15,0,4.61,clear sky
167,Dillon,34.4166,-79.3712,93.54,33,1,2.28,clear sky
168,Butaritari,3.0707,172.7902,80.98,77,33,9.53,light rain
169,Asfi,32.2994,-9.2372,66.9,90,0,5.3,clear sky
170,Airai,-8.9266,125.4092,60.01,90,100,0.6,overcast clouds
171,Deputatskiy,69.3,139.9,37.72,96,99,2.21,light rain
172,Acarau,-2.8856,-40.12,78.89,83,14,11.92,few clouds
173,Longyearbyen,78.2186,15.6401,46.24,76,0,4.61,clear sky
174,Kaspiyskiy,45.3929,47.3707,70.65,58,2,6.04,clear sky
175,Kavieng,-2.5744,150.7967,82.09,70,20,7.0,few clouds
176,Bengkulu,-3.8004,102.2655,74.91,91,100,4.92,overcast clouds
177,Gigmoto,13.7796,124.39,81.9,86,100,11.74,overcast clouds
178,Clyde River,70.4692,-68.5914,34.03,69,40,2.3,scattered clouds
179,Sabha,27.0377,14.4283,85.98,20,94,12.88,overcast clouds
180,Saint George,37.1041,-113.5841,85.62,10,0,8.99,clear sky
181,Paita,-5.0892,-81.1144,68.31,73,83,15.99,broken clouds
182,Whitewater,42.8336,-88.7323,81.27,64,100,15.08,overcast clouds
183,Cidreira,-30.1811,-50.2056,48.99,75,65,5.79,broken clouds
184,Padang,-0.9492,100.3543,73.45,89,48,3.76,scattered clouds
185,Shellbrook,53.2168,-106.4011,63.63,33,4,17.56,clear sky
186,Okhotsk,59.3833,143.3,40.17,85,100,6.91,overcast clouds
187,Fukue,32.6881,128.8419,69.51,62,100,7.0,overcast clouds
188,Meulaboh,4.1363,96.1285,76.86,82,99,1.97,overcast clouds
189,Nantucket,41.2835,-70.0995,62.71,72,0,11.5,clear sky
190,Sandnessjoen,66.0217,12.6316,55.11,76,76,11.41,broken clouds
191,Margate,51.3813,1.3862,50.7,87,96,1.99,overcast clouds
192,Lompoc,34.6391,-120.4579,79.7,63,0,25.99,clear sky
193,Narrabri,-30.3167,149.7833,48.52,91,12,1.01,few clouds
194,Rovaniemi,66.5,25.7167,58.41,41,0,10.36,clear sky
195,Ati,13.2154,18.3353,89.38,11,0,6.73,clear sky
196,Benguela,-12.5763,13.4055,70.84,81,0,2.39,clear sky
197,Horadiz,39.4488,47.3353,70.84,40,9,1.86,clear sky
198,Nabire,-3.3667,135.4833,75.69,91,90,3.58,overcast clouds
199,Lamesa,32.7376,-101.951,96.53,28,0,17.38,clear sky
200,Sharan,54.8167,54.0,50.79,90,4,4.54,clear sky
201,Hanstholm,57.1167,8.6167,43.63,78,26,10.49,scattered clouds
202,Berlevag,70.8578,29.0864,42.6,93,92,12.66,overcast clouds
203,Chemnitz,50.6667,12.75,51.03,93,47,4.7,scattered clouds
204,Avdon,54.6667,55.7167,47.52,93,40,8.95,scattered clouds
205,Faanui,-16.4833,-151.75,80.29,73,100,14.38,overcast clouds
206,Nouadhibou,20.931,-17.0347,71.58,73,98,24.16,overcast clouds
207,Atbasar,51.8,68.3333,51.76,80,48,14.38,scattered clouds
208,Shimoda,34.6667,138.95,69.66,84,98,11.68,overcast clouds
209,George,-33.963,22.4617,53.92,54,25,4.0,scattered clouds
210,Itarema,-2.9248,-39.9167,78.67,83,15,10.83,few clouds
211,Vila Velha,-20.3297,-40.2925,75.15,91,20,6.91,few clouds
212,Ust-Tsilma,65.441,52.1498,47.1,67,44,4.7,scattered clouds
213,Pisco,-13.7,-76.2167,64.45,77,0,5.75,clear sky
214,Msowero,-6.5333,37.2,66.79,85,49,2.46,scattered clouds
