City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
130,Victoria,HK,82.45,overcast clouds,22.2855,114.1577,Mini Central
131,Hanting,CN,70.54,clear sky,36.7708,119.2108,Weifang Xinhongda Guesthouse
132,Nikolskoye,RU,58.89,overcast clouds,59.7035,30.7861,Tourist House - Sablino
133,Starobaltachevo,RU,54.55,clear sky,56.0013,55.9213,Uyut
134,Samarai,PG,80.4,few clouds,-10.6167,150.6667,Nuli Sapi
135,Oruro,BO,51.51,overcast clouds,-17.9833,-67.15,Eden by BlueBay
136,Chicama,PE,63.14,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
137,Bluff,NZ,52.81,moderate rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
138,Guerrero Negro,MX,71.13,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
139,Nanortalik,GL,39.67,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
140,Castro,BR,59.85,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
141,Gwadar,PK,82.18,clear sky,25.1216,62.3254,Sadaf Resort
142,Sikonge,TZ,71.24,overcast clouds,-5.6333,32.7667,Pretoria 2 Lodge
144,Ambilobe,MG,72.09,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
146,Kimbe,PG,73.06,few clouds,-5.5502,150.1429,Kimbe Bay Hotel
147,Los Llanos De Aridane,ES,67.75,scattered clouds,28.6585,-17.9182,Valle Aridane
148,Noumea,NC,75.99,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
149,Tura,IN,73.94,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
150,Bogorodskoye,RU,58.37,broken clouds,56.55,37.8833,Sosnoviy Bor
151,Brownsville,US,91.4,few clouds,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
152,Leshukonskoye,RU,56.32,broken clouds,64.8989,45.7622,Pryalitsa Hostel
154,Portsmouth,GB,60.31,few clouds,50.799,-1.0913,Royal Beach Hotel
155,Raudeberg,NO,48.87,light rain,61.9875,5.1352,Nordre Silda.
156,Oktyabrskoye,RU,62.74,light rain,43.0645,44.7417,Prolesok Mini-hotel
158,Ambulu,ID,73.58,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
159,Selje,NO,54.61,light rain,62.0459,5.351,Doktorgarden Selje
160,Yulara,AU,49.84,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
161,Springfield,US,79.66,overcast clouds,37.2153,-93.2982,Best Western Route 66 Rail Haven
163,Busayra,JO,65.59,clear sky,30.7376,35.6078,Matan Eco Villege
164,Tazovskiy,RU,30.47,overcast clouds,67.4667,78.7,TazHostel
165,Aklavik,CA,50.45,overcast clouds,68.2191,-135.0107,Aklavik Inn
166,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
167,East London,ZA,59.05,clear sky,-33.0153,27.9116,Tu Casa
169,Hilo,US,88.29,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
170,Vilyuysk,RU,47.93,overcast clouds,63.7553,121.6247,Gostinitsa Viliuisk
171,Mar Del Plata,AR,49.08,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
172,Te Anau,NZ,50.11,light rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
173,Saint George,US,87.8,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
174,Sinnamary,GF,80.35,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
175,Inhambane,MZ,64.6,scattered clouds,-23.865,35.3833,Oceano
177,Kulhudhuffushi,MV,82.09,overcast clouds,6.6221,73.07,Haajy Guest House 1
178,Corinth,GR,78.42,clear sky,37.9407,22.9573,Ephira Hotel
179,Sumbe,AO,72.18,clear sky,-11.2061,13.8437,Hotel Ritz Sumbe
180,Afua,BR,81.32,overcast clouds,-0.1567,-50.3867,Hotel Dias
181,Kang,BW,51.71,clear sky,-23.6752,22.7876,Kang Ultra Stop
182,Reguengos De Monsaraz,PT,69.24,scattered clouds,38.4253,-7.5349,Residencial O Gato
183,Qaqortoq,GL,42.46,overcast clouds,60.7167,-46.0333,Siniffik Inn
184,Torbay,CA,42.76,light intensity drizzle,47.6666,-52.7314,Gallows Cove
185,Tuatapere,NZ,52.18,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
186,Abha,SA,70.05,clear sky,18.2164,42.5053,Abha Hotel
187,Katsuura,JP,67.53,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
188,Patawag,PH,78.28,overcast clouds,8.1064,122.6208,Banigan Beach
189,Clyde River,CA,34.25,overcast clouds,70.4692,-68.5914,Qamaq Hotel
191,Sri Aman,MY,73.67,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
192,Souillac,MU,71.85,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
193,Kishi,NG,77.13,light rain,9.0833,3.85,New NCCF KISI
194,Fort Nelson,CA,75.34,clear sky,58.8053,-122.7002,The Fort Nelson Hotel
197,Rio Gallegos,AR,32.05,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
198,Dargaville,NZ,59.5,few clouds,-35.9333,173.8833,Parkview Motel
199,Bilibino,RU,56.62,overcast clouds,68.0546,166.4372,Gostinitsa Severyanka
200,Laguna,US,93.63,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
202,Arraial Do Cabo,BR,75.06,clear sky,-22.9661,-42.0278,Pousada Porto Praia
203,Indian Trail,US,96.85,few clouds,35.0768,-80.6692,Quality Inn & Suites Matthews - Charlotte
204,Longyearbyen,SJ,42.64,clear sky,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
205,Balkhash,KZ,61.79,few clouds,46.844,74.9804,Family
206,Yakeshi,CN,43.57,few clouds,49.2833,120.7333,Longhua Hotel
207,Safaga,EG,84.31,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
208,Port Elizabeth,ZA,58.32,overcast clouds,-33.918,25.5701,39 On Nile Guest House
209,Manavgat,TR,72.63,overcast clouds,36.7867,31.4431,Lake & River Side Hotel & Spa
210,Milkovo,RU,41.88,scattered clouds,54.7167,158.6167,"Hotel ""Geologist"""
211,Bengkulu,ID,75.47,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
212,Houma,US,91.99,light rain,29.5958,-90.7195,Courtyard by Marriott Houma
213,Odienne,CI,78.46,overcast clouds,9.51,-7.5692,Oustaz Vame DIAKITE
214,Kantang,TH,78.21,heavy intensity rain,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
215,Dunedin,NZ,54.81,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
216,Harper,LR,78.49,overcast clouds,4.375,-7.7169,Screensaver
217,Kushiro,JP,49.44,light rain,42.975,144.3747,Toyoko Inn Kushiro Jujigai
218,Mecca,SA,89.17,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
219,Denpasar,ID,74.86,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
220,Narsaq,GL,53.82,overcast clouds,60.9167,-46.05,Sleep In Narsaq
221,Kruisfontein,ZA,53.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
222,Faya,SA,70.32,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
223,Kargasok,RU,41.77,clear sky,59.0556,80.8572,Hotel Kargasok
224,Awbari,LY,88.77,few clouds,26.5921,12.7805,فندق أوباري
225,Ust-Nera,RU,53.15,overcast clouds,64.5667,143.2,Hotel Ust-Nera
226,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
227,Bose,IT,69.39,broken clouds,45.4612,8.0137,Locanda Borgo Antico
228,Esmeralda,CU,88.59,overcast clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
230,Brawley,US,101.48,clear sky,32.9787,-115.5303,Brawley Inn Hotel & Conference Center
231,Hasaki,JP,61.29,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
233,Iracoubo,GF,79.92,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
234,Roald,NO,54.75,light intensity drizzle,62.5833,6.1333,Flem Cabins
235,Del Rio,US,93.22,few clouds,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
236,Grodzisk Mazowiecki,PL,61.9,few clouds,52.1039,20.6337,"Cyprus. Hotel- nocleg, restauracja, wesela"
238,Atbasar,KZ,54.55,scattered clouds,51.8,68.3333,Гостиничный Комплекс Saad
239,Kieta,PG,77.05,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
241,Kurilsk,RU,41.92,light rain,45.2333,147.8833,Hotel Ostrov
242,Terrace,CA,71.51,broken clouds,54.5163,-128.6035,Northern Motor Inn
243,Maine-Soroa,NE,90.21,clear sky,13.2114,12.0241,Complexe
244,Gondar,ET,69.06,scattered clouds,12.6,37.4667,L Shape Hotel
245,Pedasi,PA,77.07,overcast clouds,7.5333,-80.0333,Hotel Casa de Campo Pedasí
246,Sept-Iles,CA,68.52,scattered clouds,50.2001,-66.3821,Comfort Inn
247,Tayu,ID,77.09,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
248,Graaff-Reinet,ZA,51.12,clear sky,-32.2522,24.5308,Rietjiesbos Self Catering
249,Muros,ES,63.84,clear sky,42.7762,-9.0603,Apartment Av. Castelao
250,Soe,ID,64.71,broken clouds,-9.8607,124.284,Dena Hotel
251,Martapura,ID,75.29,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
252,Kaitangata,NZ,49.28,moderate rain,-46.2817,169.8464,Kaitangata Motor Camp
253,Lahaina,US,82.96,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
254,Karasjok,NO,53.82,overcast clouds,69.4719,25.5112,Karasjok camping AS
255,Mangrol,IN,80.64,clear sky,21.1167,70.1167,Hotel The Royal Honours
256,Ulverstone,AU,44.06,few clouds,-41.15,146.1667,Westella Colonial Bed & Breakfast
257,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
258,Hofn,IS,49.26,clear sky,64.2539,-15.2082,Hótel Höfn
259,Rapar,IN,81.7,clear sky,23.5667,70.6333,Dharamshi Bapa’s Home
260,Fort Myers Beach,US,89.67,broken clouds,26.452,-81.9481,Lani Kai Island Resort
261,Nouakchott,MR,82.33,scattered clouds,18.0858,-15.9785,HOTEL IMAN
262,Mombetsu,JP,48.94,overcast clouds,44.3525,143.3525,Okhotsk Palace Hotel
