City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,Arman,59.7,150.1667,41.02,98,100,10.69,RU,2022-05-22 18:50:13
144,Nome,64.5011,-165.4064,62.67,23,0,16.11,US,2022-05-22 18:50:13
145,Cap Malheureux,-19.9842,57.6142,73.47,74,6,5.01,MU,2022-05-22 18:50:13
146,Kourou,5.1552,-52.6478,83.1,76,98,4.94,GF,2022-05-22 18:50:14
147,Nemuro,43.3236,145.575,45.23,98,100,11.92,JP,2022-05-22 18:50:14
148,Bengkulu,-3.8004,102.2655,76.19,90,28,3.78,ID,2022-05-22 18:50:14
149,Avera,33.194,-82.5271,89.38,36,100,11.54,US,2022-05-22 18:50:14
150,Tonj,7.2737,28.6822,79.45,66,100,5.66,SS,2022-05-22 18:50:15
151,Talaya,61.3833,152.75,34.11,86,100,4.47,RU,2022-05-22 18:50:15
152,Baiyin,36.5583,104.2081,64.6,53,96,4.94,CN,2022-05-22 18:50:15
153,Hithadhoo,-0.6,73.0833,83.86,72,90,11.77,MV,2022-05-22 18:50:15
154,Carlisle,40.2015,-77.1889,91.06,54,59,7.56,US,2022-05-22 18:45:28
155,Sechura,-5.5569,-80.8222,78.93,57,3,13.62,PE,2022-05-22 18:50:16
156,Pincher Creek,49.4833,-113.952,55.56,31,20,6.91,CA,2022-05-22 18:50:16
157,La Palma,33.8464,-118.0467,79.5,61,40,10.36,US,2022-05-22 18:50:16
158,Conakry,9.538,-13.6773,80.94,79,41,11.34,GN,2022-05-22 18:50:16
159,Bambous Virieux,-20.3428,57.7575,75.45,69,20,11.5,MU,2022-05-22 18:50:17
160,Boa Vista,2.8197,-60.6733,75.18,88,100,5.75,BR,2022-05-22 18:50:17
161,Nalut,30.3333,10.85,79.05,6,0,7.38,LY,2022-05-22 18:50:17
162,Esperance,-33.8667,121.9,63.0,74,24,10.92,AU,2022-05-22 18:50:17
163,Sobolevo,54.4299,31.8996,42.96,70,12,5.73,RU,2022-05-22 18:50:18
164,Novaya Igirma,57.1334,103.9112,41.67,90,65,2.59,RU,2022-05-22 18:50:18
165,Sabha,27.0377,14.4283,80.53,9,0,8.52,LY,2022-05-22 18:50:18
166,Jiujiang,29.7333,115.9833,68.58,89,100,1.14,CN,2022-05-22 18:50:18
167,Lebu,-37.6167,-73.65,52.27,87,100,11.05,CL,2022-05-22 18:48:10
168,Hofn,64.2539,-15.2082,53.62,54,75,20.71,IS,2022-05-22 18:50:19
169,Libreville,0.3925,9.4537,78.24,81,23,11.81,GA,2022-05-22 18:50:19
170,Provideniya,64.3833,-173.3,49.15,43,100,10.78,RU,2022-05-22 18:50:19
171,Chokurdakh,70.6333,147.9167,32.68,100,100,3.36,RU,2022-05-22 18:50:20
172,Bull Savanna,17.8868,-77.5902,82.22,65,100,17.22,JM,2022-05-22 18:50:20
