City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
120,Lar,IN,26.2039,83.9717,107.11,13,12,10.76,few clouds
121,Tuskegee,US,32.424,-85.6916,73.51,75,70,7.63,broken clouds
122,Castro,BR,-24.7911,-50.0119,56.89,87,100,6.22,overcast clouds
123,Atuona,PF,-9.8,-139.0333,78.03,71,37,16.2,scattered clouds
124,Taungdwingyi,MM,20.0167,95.55,85.15,63,98,11.41,overcast clouds
125,Bud,US,39.447,-86.1758,70.05,68,100,5.86,overcast clouds
126,Thinadhoo,MV,0.5333,72.9333,83.86,70,100,7.74,overcast clouds
127,Rafsanjan,IR,30.4067,55.9939,89.24,9,0,20.96,clear sky
128,Rypefjord,NO,70.6333,23.6667,54.07,47,20,3.44,few clouds
129,Saint-Joseph,RE,-21.3667,55.6167,75.58,75,17,12.84,light rain
130,Norman Wells,CA,65.282,-126.8329,43.21,71,61,1.86,broken clouds
131,Ketchikan,US,55.3422,-131.6461,54.07,82,100,5.75,overcast clouds
132,Cockburn Town,TC,21.4612,-71.1419,80.37,87,100,20.02,overcast clouds
133,Marsaxlokk,MT,35.8419,14.5431,95.61,18,0,10.36,clear sky
134,Tiksi,RU,71.6872,128.8694,40.42,90,59,2.13,broken clouds
135,Ahipara,NZ,-35.1667,173.1667,59.11,94,97,5.91,overcast clouds
136,Bengkulu,ID,-3.8004,102.2655,79.21,78,99,2.95,light rain
137,Bonavista,CA,48.6499,-53.1147,41.22,92,100,18.72,light rain
138,Ghanzi,BW,-21.5667,21.7833,71.62,19,5,13.47,clear sky
139,Northam,GB,51.0333,-4.2167,60.26,87,100,8.28,overcast clouds
140,Huarmey,PE,-10.0681,-78.1522,66.54,83,100,9.17,overcast clouds
141,Cidreira,BR,-30.1811,-50.2056,62.51,83,95,11.05,light rain
142,Rocha,UY,-34.4833,-54.3333,55.36,89,100,3.56,overcast clouds
143,Upernavik,GL,72.7868,-56.1549,28.65,50,0,6.49,clear sky
144,Velsk,RU,61.0701,42.0983,62.06,62,100,5.21,overcast clouds
145,Vieques,PR,18.425,-65.8329,87.84,62,40,6.91,scattered clouds
146,Hwange,ZW,-18.3693,26.5019,79.2,19,1,9.35,clear sky
147,Trincomalee,LK,8.5711,81.2335,86.18,64,82,17.96,broken clouds
148,Provideniya,RU,64.3833,-173.3,39.85,84,37,3.02,scattered clouds
149,Copiapo,CL,-27.3667,-70.3333,59.32,43,85,2.44,overcast clouds
150,Dingle,PH,10.9995,122.6711,76.44,92,100,2.44,overcast clouds
151,Almeirim,BR,-1.5233,-52.5817,77.67,88,96,3.42,overcast clouds
152,Half Moon Bay,US,37.4636,-122.4286,66.25,88,75,9.22,broken clouds
153,Kavieng,PG,-2.5744,150.7967,81.57,72,7,6.11,clear sky
154,Chokurdakh,RU,70.6333,147.9167,49.48,43,98,12.39,overcast clouds
155,Jamestown,US,42.097,-79.2353,63.99,46,0,5.75,clear sky
156,Vancouver,CA,49.2497,-123.1193,58.3,95,100,11.5,light rain
157,Am Timan,TD,11.0297,20.2827,98.91,26,75,1.12,broken clouds
158,Port Elizabeth,ZA,-33.918,25.5701,68.09,68,9,1.99,clear sky
159,Mathbaria,BD,22.2876,89.9593,85.84,73,9,8.61,clear sky
160,Stornoway,GB,58.2093,-6.3865,60.04,68,20,9.22,few clouds
161,Svarstad,NO,59.399,9.9698,76.26,44,7,4.0,clear sky
162,Nanortalik,GL,60.1432,-45.2371,45.09,63,100,5.37,overcast clouds
163,Luderitz,NA,-26.6481,15.1594,79.74,28,71,7.02,broken clouds
164,Port Macquarie,AU,-31.4333,152.9167,49.89,77,100,7.31,overcast clouds
165,Russell,US,32.3502,-85.1999,74.48,82,58,7.29,broken clouds
166,Bedele,ET,8.456,36.353,67.15,71,63,4.94,light rain
167,Yingcheng,CN,30.95,113.55,74.52,74,0,3.33,clear sky
168,Mont-Dore,NC,-22.2833,166.5833,73.99,99,2,3.67,clear sky
169,Saint-Francois,FR,46.4154,3.9054,63.84,82,75,14.97,broken clouds
170,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,78,20,19.57,few clouds
171,Camacha,PT,33.0833,-16.3333,67.42,64,20,12.66,few clouds
172,Nipawin,CA,53.3668,-104.0009,42.84,100,75,8.05,broken clouds
173,San Juan,AR,-31.5375,-68.5364,50.14,51,3,2.28,clear sky
174,Belyy Yar,RU,53.6039,91.3903,62.49,50,0,11.18,clear sky
175,Marawi,PH,7.9986,124.2928,69.71,95,100,5.68,overcast clouds
176,Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,73,75,5.75,broken clouds
177,Bourail,NC,-21.5667,165.4833,70.05,86,0,3.49,clear sky
178,Marsa Matruh,EG,31.3525,27.2453,79.84,59,0,12.37,clear sky
179,Kloulklubed,PW,7.0419,134.2556,75.7,69,85,1.92,overcast clouds
180,Hammerfest,NO,70.6634,23.6821,54.05,47,20,3.44,few clouds
181,Aksay,RU,47.26,39.87,88.25,33,98,8.01,overcast clouds
182,Sao Filipe,CV,14.8961,-24.4956,78.75,62,2,11.72,clear sky
183,Halifax,CA,44.6453,-63.5724,57.69,88,5,4.0,clear sky
184,Severo-Kurilsk,RU,50.6789,156.125,43.63,86,89,7.7,overcast clouds
185,Nam Som,TH,17.7704,102.1895,78.85,80,100,1.81,overcast clouds
186,Viedma,AR,-40.8135,-62.9967,48.09,60,90,7.76,overcast clouds
187,Mar Del Plata,AR,-38.0023,-57.5575,51.1,92,100,3.44,fog
188,Inuvik,CA,68.3499,-133.7218,30.18,72,8,7.11,clear sky
189,Portland,US,45.5234,-122.6762,60.84,93,75,10.36,broken clouds
190,Ormara,PK,25.2088,64.6357,83.37,81,0,18.59,clear sky
191,Airai,TL,-8.9266,125.4092,59.77,95,81,2.59,broken clouds
192,Aguimes,ES,27.9054,-15.4461,73.65,57,20,28.77,few clouds
193,Sangmelima,CM,2.9333,11.9833,80.53,62,94,1.72,overcast clouds
194,Gondanglegi,ID,-7.7479,112.0132,76.48,91,100,8.55,moderate rain
195,Guerrero Negro,MX,27.9769,-114.0611,60.4,86,75,16.44,broken clouds
196,Lebu,CL,-37.6167,-73.65,53.47,96,100,13.15,overcast clouds
197,Padang,ID,-0.9492,100.3543,78.85,80,100,3.53,overcast clouds
198,Arvika,SE,59.6553,12.5852,70.41,29,8,2.13,clear sky
199,Longyearbyen,SJ,78.2186,15.6401,46.24,76,75,10.36,broken clouds
200,Marystown,CA,47.1666,-55.1483,51.85,100,16,8.99,few clouds
201,Marzuq,YE,14.4,46.4667,86.81,29,100,1.74,light rain
202,Ancud,CL,-41.8697,-73.8203,39.96,87,100,2.98,overcast clouds
203,Cabo San Lucas,MX,22.8909,-109.9124,76.51,66,0,12.19,clear sky
204,Elizabeth City,US,36.2946,-76.2511,78.82,62,0,13.8,clear sky
205,Black River,JM,18.0264,-77.8487,83.53,71,42,16.67,scattered clouds
206,Oussouye,SN,12.485,-16.5469,89.85,51,21,11.74,few clouds
207,Sioux Lookout,CA,50.1001,-91.917,50.49,58,66,2.59,broken clouds
208,Paamiut,GL,61.994,-49.6678,44.49,54,0,5.53,clear sky
209,Grand Gaube,MU,-20.0064,57.6608,76.37,61,0,7.0,clear sky
210,Surt,LY,31.2089,16.5887,81.43,51,0,11.59,clear sky
211,Kahului,US,20.8947,-156.47,74.84,78,75,6.91,broken clouds
212,Chadiza,ZM,-14.0678,32.4392,69.58,42,100,9.06,overcast clouds
213,Road Town,VG,18.4167,-64.6167,84.99,79,20,10.36,few clouds
214,Karla,EE,59.3723,24.9275,70.14,52,20,16.11,few clouds
215,Novouzensk,RU,50.4592,48.1431,81.9,38,100,4.27,overcast clouds
216,Bismarck,US,46.8083,-100.7837,56.64,66,0,3.44,clear sky
217,Luanda,AO,-8.8368,13.2343,77.0,78,0,9.22,clear sky
218,Ulaangom,MN,49.9811,92.0667,67.14,22,100,4.68,overcast clouds
219,Kruisfontein,ZA,-34.0033,24.7314,65.88,54,2,12.08,clear sky
220,Gizo,SB,-8.103,156.8419,82.54,74,100,5.86,overcast clouds
221,Warri,NG,5.5167,5.75,74.82,86,100,4.88,overcast clouds
222,Acapulco,MX,16.8634,-99.8901,80.42,83,40,3.44,scattered clouds
223,Kaeo,NZ,-35.1,173.7833,59.32,96,100,12.17,overcast clouds
224,Wewak,PG,-3.5534,143.6268,79.14,81,58,2.26,broken clouds
225,Dubbo,AU,-32.25,148.6167,51.93,82,100,14.97,overcast clouds
226,Duma,CN,34.7653,108.135,73.65,25,100,4.36,overcast clouds
227,Taltal,CL,-25.4,-70.4833,59.97,78,15,0.27,few clouds
228,Faya,SA,18.3851,42.4509,84.72,13,8,5.84,clear sky
229,Nirasaki,JP,35.7,138.45,67.89,75,100,1.86,light rain
230,Sorong,ID,-0.8833,131.25,78.06,81,100,7.63,overcast clouds
231,Lagoa,PT,39.05,-27.9833,62.92,89,100,12.48,overcast clouds
232,Richards Bay,ZA,-28.783,32.0377,68.7,78,62,13.73,light rain
